	x	y
0	0.0	8
1	40.0	7
2	80.0	8
3	120.0	7
4	160.0	9
5	200.0	8
6	240.0	7
7	280.0	8
8	320.0	7
9	360.0	7
10	400.0	7
11	440.0	7
12	480.0	7
13	520.0	7
14	560.0	5
15	600.0	7
16	640.0	6
17	680.0	7
18	720.0	6
19	760.0	7
20	800.0	7
21	840.0	6
22	880.0	6
23	920.0	8
24	960.0	6
25	1000.0	7
26	1040.0	8
27	1080.0	7
28	1120.0	7
29	1160.0	8
30	1200.0	7
31	1240.0	8
32	1280.0	8
33	1320.0	8
34	1360.0	8
35	1400.0000000000002	7
36	1440.0	8
37	1480.0	8
38	1520.0	8
39	1560.0	8
40	1600.0	8
41	1640.0000000000002	8
42	1680.0	8
43	1720.0	7
44	1760.0	8
45	1800.0	8
46	1840.0	8
47	1880.0000000000002	9
48	1920.0	9
49	1960.0	9
50	2000.0	8
51	2040.0	8
52	2080.0	7
53	2120.0	7
54	2160.0	7
55	2200.0	8
56	2240.0	7
57	2280.0000000000005	7
58	2320.0	6
59	2360.0	6
60	2400.0	6
61	2440.0	6
62	2480.0	6
63	2520.0	6
64	2560.0	6
65	2600.0	7
66	2640.0	6
67	2680.0	6
68	2720.0	6
69	2760.0000000000005	6
70	2800.0000000000005	5
71	2840.0	5
72	2880.0	5
73	2920.0	5
74	2960.0	5
75	3000.0	5
76	3040.0	5
77	3080.0	6
78	3120.0	6
79	3160.0	6
80	3200.0	6
81	3240.0	6
82	3280.0000000000005	5
83	3320.0000000000005	4
84	3360.0	5
85	3400.0	4
86	3440.0	4
87	3480.0	4
88	3520.0	4
89	3560.0	3
90	3600.0	3
91	3640.0	3
92	3680.0	4
93	3720.0	5
94	3760.0000000000005	4
95	3800.0000000000005	4
96	3840.0	5
97	3880.0	5
98	3920.0	5
99	3960.0	5
100	4000.0	5
101	4040.0	5
102	4080.0	5
103	4120.0	5
104	4160.0	5
105	4200.0	5
106	4240.0	5
107	4280.0	5
108	4320.0	4
109	4360.0	6
110	4400.0	5
111	4440.0	5
112	4480.0	5
113	4520.000000000001	5
114	4560.000000000001	4
115	4600.000000000001	4
116	4640.0	5
117	4680.0	4
118	4720.0	5
119	4760.0	5
120	4800.0	5
121	4840.0	5
122	4880.0	5
123	4920.0	5
124	4960.0	6
125	5000.0	5
126	5040.0	5
127	5080.0	5
128	5120.0	6
129	5160.0	5
130	5200.0	5
131	5240.0	6
132	5280.0	6
133	5320.0	5
134	5360.0	6
135	5400.0	5
136	5440.0	5
137	5480.0	5
138	5520.000000000001	7
139	5560.000000000001	5
140	5600.000000000001	7
141	5640.0	7
142	5680.0	6
143	5720.0	7
144	5760.0	7
145	5800.0	7
146	5840.0	7
147	5880.0	7
148	5920.0	7
149	5960.0	7
150	6000.0	7
151	6040.0	7
152	6080.0	7
153	6120.0	7
154	6160.0	7
155	6200.0	7
156	6240.0	6
157	6280.0	7
158	6320.0	6
159	6360.0	7
160	6400.0	6
161	6440.0	7
162	6480.0	6
163	6520.000000000001	6
164	6560.000000000001	6
165	6600.000000000001	6
166	6640.000000000001	6
167	6680.0	6
168	6720.0	6
169	6760.0	6
170	6800.0	6
171	6840.0	6
172	6880.0	6
173	6920.0	6
174	6960.0	7
175	7000.0	7
176	7040.0	7
177	7080.0	7
178	7120.0	7
179	7160.0	7
180	7200.0	7
181	7240.0	7
182	7280.0	8
183	7320.0	7
184	7360.0	7
185	7400.0	7
186	7440.0	7
187	7480.0	7
188	7520.000000000001	7
189	7560.000000000001	8
190	7600.000000000001	7
191	7640.000000000001	7
192	7680.0	7
193	7720.0	7
194	7760.0	7
195	7800.0	7
196	7840.0	9
197	7880.0	8
198	7920.0	7
199	7960.0	7
200	8000.0	7
201	8040.000000000001	7
202	8080.0	7
203	8120.000000000001	7
204	8160.0	6
205	8200.0	6
206	8240.0	8
207	8280.0	7
208	8320.0	7
209	8360.0	6
210	8400.0	8
211	8440.0	7
212	8480.0	7
213	8520.0	8
214	8560.0	7
215	8600.0	8
216	8640.0	7
217	8680.0	7
218	8720.0	7
219	8760.0	7
220	8800.0	7
221	8840.0	8
222	8880.0	7
223	8920.0	8
224	8960.0	7
225	9000.0	9
226	9040.000000000002	8
227	9080.0	8
228	9120.000000000002	7
229	9160.0	8
230	9200.000000000002	8
231	9240.0	8
232	9280.0	8
233	9320.0	8
234	9360.0	8
235	9400.0	9
236	9440.0	8
237	9480.0	8
238	9520.0	8
239	9560.0	8
240	9600.0	9
241	9640.0	8
242	9680.0	8
243	9720.0	8
244	9760.0	7
245	9800.0	7
246	9840.0	7
247	9880.0	6
248	9920.0	6
249	9960.0	6
250	10000.0	7
251	10040.000000000002	8
252	10080.0	8
253	10120.000000000002	8
254	10160.0	7
255	10200.000000000002	7
256	10240.0	7
257	10280.0	7
258	10320.0	8
259	10360.0	7
260	10400.0	7
261	10440.0	7
262	10480.0	7
263	10520.0	6
264	10560.0	6
265	10600.0	7
266	10640.0	6
267	10680.0	6
268	10720.0	7
269	10760.0	7
270	10800.0	7
271	10840.0	7
272	10880.0	8
273	10920.0	8
274	10960.0	7
275	11000.0	8
276	11040.000000000002	6
277	11080.0	8
278	11120.000000000002	7
279	11160.0	7
280	11200.000000000002	7
281	11240.0	6
282	11280.0	6
283	11320.0	7
284	11360.0	6
285	11400.0	6
286	11440.0	6
287	11480.0	7
288	11520.0	6
289	11560.0	6
290	11600.0	7
291	11640.0	6
292	11680.0	5
293	11720.0	6
294	11760.0	6
295	11800.0	6
296	11840.0	6
297	11880.0	6
298	11920.0	6
299	11960.0	7
300	12000.0	6
301	12040.000000000002	6
302	12080.0	6
303	12120.000000000002	6
304	12160.0	6
305	12200.000000000002	6
306	12240.0	4
307	12280.000000000002	5
308	12320.0	4
309	12360.0	5
310	12400.0	3
311	12440.0	4
312	12480.0	4
313	12520.0	4
314	12560.0	5
315	12600.0	4
316	12640.0	5
317	12680.0	5
